2025-06-20 16:39:29 | INFO | Running sync for all tables
2025-06-20 16:39:29 | INFO | Starting external data sync process
2025-06-20 16:39:29 | INFO | Starting sync for table: sales
2025-06-20 16:39:29 | INFO | Last sync time for sales: None
2025-06-20 16:39:29 | INFO | Using mock data for sales in development mode
2025-06-20 16:39:29 | INFO | Fetched 100 records from external database
2025-06-20 16:39:29 | INFO | Transformed data for sales
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'bill_id'
